# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   FG
# 
  242,20170925,   47
  242,20170926,   46
  242,20170927,   58
  242,20170928,   60
  242,20170929,   59
  242,20170930,   38
  242,20171001,  112
  242,20171002,  132
  242,20171003,  114
  242,20171004,  139
  242,20171005,  160
  242,20171006,  130
  242,20171007,  128
  242,20171008,   68
  242,20171009,   46
  242,20171010,   87
  242,20171011,  138
  242,20171012,  111
  242,20171013,  100
  242,20171014,   83
  242,20171015,   58
  242,20171016,   70
  242,20171017,  106
  242,20171018,   45
  242,20171019,   61
  242,20171020,   99
  242,20171021,  106
  242,20171022,  126
  242,20171023,   97
  242,20171024,   91
  242,20171025,   99
  242,20171026,   80
  242,20171027,  113
  242,20171028,  145
  242,20171029,  154
  242,20171030,   85
  242,20171031,   88
  242,20171101,   91
  242,20171102,   63
  242,20171103,   46
  242,20171104,   79
  242,20171105,   91
  242,20171106,   54
  242,20171107,   58
  242,20171108,   32
  242,20171109,   73
  242,20171110,  138
  242,20171111,  108
  242,20171112,   93
  242,20171113,  105
  242,20171114,   85
  242,20171115,   42
  242,20171116,   70
  242,20171117,   77
  242,20171118,  129
  242,20171119,  129
  242,20171120,   83
  242,20171121,   76
  242,20171122,  133
  242,20171123,  133
  242,20171124,   70
  242,20171125,   92
  242,20171126,  125
  242,20171127,  139
  242,20171128,  110
  242,20171129,   42
  242,20171130,   56
  242,20171201,   30
  242,20171202,   58
  242,20171203,   91
  242,20171204,   92
  242,20171205,  103
  242,20171206,  121
  242,20171207,  152
  242,20171208,  135
  242,20171209,  119
  242,20171210,   96
  242,20171211,   79
  242,20171212,   90
  242,20171213,  104
  242,20171214,  100
  242,20171215,   50
  242,20171216,   99
  242,20171217,   76
  242,20171218,   73
  242,20171219,   47
  242,20171220,   50
  242,20171221,   39
  242,20171222,   28
  242,20171223,  110
  242,20171224,  125
  242,20171225,  130
  242,20171226,  132
  242,20171227,   97
  242,20171228,  128
  242,20171229,  112
  242,20171230,  111
  242,20171231,  116
  310,20170101,   69
  310,20170102,   36
  310,20170103,   84
  310,20170104,   74
